hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
51.5,High,865,Good,49.74,Moderate,Medium-Term
22.5,Moderate,1307,Good,23.84,Low,Monitor
98.4,Low,3830,Moderate,70.94,High,Short-Term
57.6,Very High,4149,Moderate,68.66,High,Short-Term
65.6,Low,973,Moderate,37.35,Low,Monitor
80.4,Very High,511,Poor,67.42,High,Short-Term
84.8,Very High,1192,Moderate,73.13,High,Short-Term
98.8,High,3725,Poor,89.77,Critical,Immediate
89.2,Very High,4588,Moderate,91.93,Critical,Immediate
74.4,Very High,3786,Moderate,81.21,Critical,Immediate
84.0,High,4370,Moderate,78.91,High,Short-Term
27.5,Low,2440,Good,26.23,Low,Monitor
32.0,Low,1233,Good,22.33,Low,Monitor
69.4,Moderate,626,Moderate,47.81,Moderate,Medium-Term
54.3,Very High,610,Good,58.27,Moderate,Medium-Term
38.9,Low,4816,Moderate,47.51,Moderate,Medium-Term
94.3,High,3294,Moderate,76.79,High,Short-Term
73.5,Moderate,4099,Good,56.49,Moderate,Medium-Term
48.6,Very High,2853,Poor,72.54,High,Short-Term
40.4,Moderate,3928,Good,55.54,Moderate,Medium-Term
53.4,Very High,4948,Poor,82.34,Critical,Immediate
8.4,Very High,1211,Moderate,38.69,Low,Monitor
26.0,High,1833,Moderate,43.66,Moderate,Medium-Term
76.1,Very High,2379,Moderate,68.19,High,Short-Term
8.2,Low,4518,Good,39.44,Low,Monitor
35.0,Low,429,Good,31.66,Low,Monitor
19.9,Low,1348,Good,16.88,Low,Monitor
66.9,Moderate,3909,Poor,62.9,High,Short-Term
36.9,Low,1441,Moderate,27.41,Low,Monitor
2.6,High,4816,Poor,61.95,High,Short-Term
37.5,Moderate,722,Poor,46.81,Moderate,Medium-Term
62.7,Low,2570,Poor,54.09,Moderate,Medium-Term
12.1,Low,2944,Poor,35.11,Low,Monitor
37.1,High,203,Moderate,48.96,Moderate,Medium-Term
10.6,High,3866,Poor,48.87,Moderate,Medium-Term
17.6,High,4508,Moderate,53.63,Moderate,Medium-Term
82.6,High,2740,Good,70.66,High,Short-Term
8.7,Very High,2097,Moderate,48.55,Moderate,Medium-Term
66.8,High,335,Moderate,60.34,High,Short-Term
18.2,Moderate,3006,Moderate,38.34,Low,Monitor
88.0,High,4653,Good,75.18,High,Short-Term
19.1,Moderate,3429,Moderate,43.78,Moderate,Medium-Term
24.0,Very High,4120,Moderate,65.57,High,Short-Term
9.3,Moderate,3412,Poor,40.54,Moderate,Medium-Term
66.4,High,3976,Poor,74.88,High,Short-Term
42.6,High,2982,Poor,61.35,High,Short-Term
30.7,Moderate,1088,Poor,37.93,Low,Monitor
12.0,Moderate,1669,Good,32.7,Low,Monitor
27.6,High,923,Good,35.59,Low,Monitor
36.1,High,215,Poor,49.29,Moderate,Medium-Term
27.4,Low,4633,Moderate,46.28,Moderate,Medium-Term
12.6,Very High,940,Good,40.86,Moderate,Medium-Term
46.9,Very High,2891,Good,66.93,High,Short-Term
25.2,Very High,1034,Good,42.87,Moderate,Medium-Term
7.4,Low,1342,Good,23.44,Low,Monitor
94.9,Low,2133,Good,53.18,Moderate,Medium-Term
41.6,Moderate,4380,Moderate,53.79,Moderate,Medium-Term
44.3,Very High,2601,Poor,69.1,High,Short-Term
61.0,Low,1802,Poor,44.19,Moderate,Medium-Term
66.0,Moderate,2064,Good,50.19,Moderate,Medium-Term
15.7,Very High,3790,Poor,63.41,High,Short-Term
29.1,Moderate,2460,Poor,44.3,Moderate,Medium-Term
86.0,Low,2012,Moderate,57.76,Moderate,Medium-Term
62.5,Moderate,3582,Good,54.91,Moderate,Medium-Term
64.8,High,1265,Good,46.19,Moderate,Medium-Term
79.3,High,3697,Good,67.54,High,Short-Term
30.4,Very High,2330,Poor,61.85,High,Short-Term
43.8,Low,3639,Poor,47.3,Moderate,Medium-Term
25.0,Low,1975,Poor,42.28,Moderate,Medium-Term
57.5,Low,2307,Poor,42.24,Moderate,Medium-Term
75.6,Very High,4351,Poor,84.19,Critical,Immediate
27.8,Very High,4128,Good,57.26,Moderate,Medium-Term
40.8,High,956,Good,40.88,Moderate,Medium-Term
69.4,High,3380,Poor,65.65,High,Short-Term
8.8,High,2748,Good,47.09,Moderate,Medium-Term
40.4,Low,4544,Moderate,45.93,Moderate,Medium-Term
18.8,High,4183,Poor,57.63,Moderate,Medium-Term
5.2,High,4599,Good,52.56,Moderate,Medium-Term
43.8,Very High,1094,Good,58.78,Moderate,Medium-Term
60.9,Moderate,1397,Moderate,50.21,Moderate,Medium-Term
55.2,Low,1940,Good,36.96,Low,Monitor
11.7,Moderate,4182,Poor,45.24,Moderate,Medium-Term
70.5,Very High,4052,Moderate,72.78,High,Short-Term
55.1,Very High,1661,Poor,67.31,High,Short-Term
87.9,Low,2363,Moderate,52.66,Moderate,Medium-Term
78.8,High,121,Moderate,61.68,High,Short-Term
83.7,Very High,1317,Moderate,71.18,High,Short-Term
34.5,Very High,3830,Moderate,69.31,High,Short-Term
98.1,Moderate,4784,Moderate,71.71,High,Short-Term
77.6,Low,2706,Poor,57.8,Moderate,Medium-Term
91.3,Very High,3262,Poor,90.93,Critical,Immediate
65.2,Moderate,4157,Good,51.47,Moderate,Medium-Term
96.5,High,922,Moderate,61.06,High,Short-Term
91.0,Low,1280,Moderate,57.9,Moderate,Medium-Term
97.0,Low,3946,Moderate,62.15,High,Short-Term
69.3,Low,2791,Poor,61.42,High,Short-Term
38.0,High,4097,Poor,57.51,Moderate,Medium-Term
6.8,High,1963,Poor,38.93,Low,Monitor
97.8,Low,3734,Good,62.77,High,Short-Term
90.3,Low,2757,Good,49.82,Moderate,Medium-Term
37.5,Moderate,2100,Poor,47.86,Moderate,Medium-Term
68.2,Moderate,1492,Good,41.1,Moderate,Medium-Term
87.1,Moderate,4176,Poor,69.23,High,Short-Term
46.1,High,3864,Moderate,64.26,High,Short-Term
89.9,Very High,2456,Poor,83.29,Critical,Immediate
7.4,High,4913,Moderate,54.46,Moderate,Medium-Term
42.4,High,3842,Moderate,55.4,Moderate,Medium-Term
38.5,Very High,973,Good,46.97,Moderate,Medium-Term
35.9,High,2518,Good,55.79,Moderate,Medium-Term
65.8,High,166,Poor,64.78,High,Short-Term
77.8,Low,4169,Moderate,63.32,High,Short-Term
23.0,High,1894,Poor,45.92,Moderate,Medium-Term
25.1,Moderate,895,Poor,42.46,Moderate,Medium-Term
30.9,Very High,373,Poor,51.4,Moderate,Medium-Term
13.1,High,2776,Poor,49.59,Moderate,Medium-Term
20.1,High,4448,Poor,66.7,High,Short-Term
83.0,High,4047,Moderate,79.18,High,Short-Term
33.9,Low,3936,Good,32.36,Low,Monitor
96.7,Very High,4665,Moderate,81.94,Critical,Immediate
39.5,High,4495,Good,56.59,Moderate,Medium-Term
67.3,High,4888,Moderate,78.27,High,Short-Term
94.0,Low,2015,Moderate,48.36,Moderate,Medium-Term
88.4,High,1913,Poor,66.85,High,Short-Term
82.4,High,3444,Good,62.36,High,Short-Term
94.6,High,4135,Good,68.71,High,Short-Term
88.7,Moderate,3283,Moderate,64.62,High,Short-Term
94.9,Very High,4911,Poor,97.74,Critical,Immediate
88.5,Low,4108,Poor,66.19,High,Short-Term
95.2,Low,3135,Good,55.45,Moderate,Medium-Term
95.1,High,913,Poor,70.07,High,Short-Term
90.2,High,596,Moderate,60.36,High,Short-Term
96.8,Very High,850,Poor,73.92,High,Short-Term
63.9,Low,514,Moderate,35.32,Low,Monitor
12.6,Moderate,662,Poor,30.12,Low,Monitor
21.6,Moderate,2791,Good,41.34,Moderate,Medium-Term
59.6,High,1285,Good,52.14,Moderate,Medium-Term
79.9,Low,311,Good,31.95,Low,Monitor
79.0,Moderate,4923,Moderate,62.09,High,Short-Term
26.5,Moderate,3548,Poor,45.04,Moderate,Medium-Term
6.4,Very High,3065,Poor,57.25,Moderate,Medium-Term
45.2,Moderate,455,Poor,49.92,Moderate,Medium-Term
86.7,High,3852,Poor,88.42,Critical,Immediate
6.1,Very High,3390,Moderate,54.68,Moderate,Medium-Term
49.0,Very High,702,Good,48.61,Moderate,Medium-Term
14.8,Moderate,2352,Poor,44.47,Moderate,Medium-Term
54.8,High,3220,Poor,67.8,High,Short-Term
45.4,Very High,912,Poor,54.62,Moderate,Medium-Term
65.5,Moderate,3623,Moderate,66.13,High,Short-Term
41.4,Very High,3366,Moderate,67.62,High,Short-Term
31.3,High,2188,Moderate,56.97,Moderate,Medium-Term
68.7,Very High,649,Good,63.45,High,Short-Term
9.3,Low,3152,Good,27.26,Low,Monitor
58.6,High,1101,Moderate,52.57,Moderate,Medium-Term
66.5,Very High,521,Moderate,62.97,High,Short-Term
35.2,Moderate,1367,Poor,45.26,Moderate,Medium-Term
84.7,High,4656,Moderate,72.11,High,Short-Term
27.9,Moderate,3615,Poor,59.57,Moderate,Medium-Term
81.8,Low,2290,Good,43.18,Moderate,Medium-Term
70.3,High,2883,Moderate,58.24,Moderate,Medium-Term
87.0,Very High,670,Good,68.49,High,Short-Term
97.2,Low,4445,Good,60.32,High,Short-Term
45.4,Moderate,3131,Moderate,54.46,Moderate,Medium-Term
77.7,Low,530,Good,34.33,Low,Monitor
61.8,Low,2329,Moderate,48.54,Moderate,Medium-Term
48.6,Very High,3492,Moderate,62.43,High,Short-Term
51.2,High,3621,Good,54.43,Moderate,Medium-Term
67.8,Very High,4416,Poor,79.57,High,Short-Term
22.1,Low,162,Good,15.7,Low,Monitor
21.1,Moderate,2193,Moderate,35.91,Low,Monitor
0.8,Very High,1539,Good,36.02,Low,Monitor
70.4,High,690,Moderate,63.19,High,Short-Term
4.2,Low,3866,Good,33.22,Low,Monitor
57.6,Very High,3521,Moderate,64.08,High,Short-Term
2.1,High,1507,Poor,41.37,Moderate,Medium-Term
69.0,High,821,Moderate,62.94,High,Short-Term
24.3,Very High,4392,Good,55.9,Moderate,Medium-Term
31.0,High,1915,Moderate,52.98,Moderate,Medium-Term
7.6,Low,4446,Poor,35.79,Low,Monitor
77.6,High,1309,Good,51.54,Moderate,Medium-Term
25.6,Moderate,1352,Poor,35.33,Low,Monitor
95.1,Very High,3900,Poor,94.29,Critical,Immediate
44.9,High,2689,Good,51.01,Moderate,Medium-Term
46.9,High,2350,Poor,53.96,Moderate,Medium-Term
50.7,High,3882,Moderate,55.87,Moderate,Medium-Term
36.9,High,728,Poor,56.91,Moderate,Medium-Term
85.5,Very High,3890,Poor,87.6,Critical,Immediate
79.2,Low,3784,Poor,65.54,High,Short-Term
32.2,Very High,4207,Good,66.92,High,Short-Term
45.1,High,790,Poor,56.53,Moderate,Medium-Term
3.9,Very High,3699,Poor,57.77,Moderate,Medium-Term
15.9,High,2417,Moderate,43.77,Moderate,Medium-Term
33.8,Low,2841,Good,30.97,Low,Monitor
55.8,Very High,2427,Moderate,68.82,High,Short-Term
65.7,Moderate,2830,Good,53.64,Moderate,Medium-Term
14.1,High,2641,Poor,53.93,Moderate,Medium-Term
39.2,Low,2636,Poor,42.54,Moderate,Medium-Term
79.2,Moderate,4412,Good,65.71,High,Short-Term
42.3,High,249,Moderate,42.74,Moderate,Medium-Term
95.1,High,4083,Good,70.74,High,Short-Term
13.8,Low,2523,Good,25.54,Low,Monitor
54.0,Low,2858,Poor,44.68,Moderate,Medium-Term
37.7,Moderate,1581,Poor,51.61,Moderate,Medium-Term
80.9,Moderate,3685,Good,59.62,Moderate,Medium-Term
67.6,Moderate,3738,Poor,62.92,High,Short-Term
74.9,Very High,2016,Poor,71.36,High,Short-Term
96.6,Very High,1689,Moderate,79.42,High,Short-Term
57.0,Very High,3882,Moderate,75.93,High,Short-Term
50.3,Very High,1427,Good,59.63,Moderate,Medium-Term
13.8,High,527,Poor,41.88,Moderate,Medium-Term
37.1,Low,4326,Good,37.35,Low,Monitor
76.3,High,3780,Poor,71.44,High,Short-Term
43.7,Moderate,3795,Moderate,59.87,Moderate,Medium-Term
41.5,Very High,4212,Moderate,63.14,High,Short-Term
99.5,High,1939,Good,65.18,High,Short-Term
9.9,High,1296,Good,26.76,Low,Monitor
91.7,Very High,1236,Poor,77.8,High,Short-Term
61.5,Low,255,Moderate,33.0,Low,Monitor
15.0,Very High,1010,Moderate,41.09,Moderate,Medium-Term
12.2,Moderate,3539,Poor,50.88,Moderate,Medium-Term
45.7,Low,4194,Poor,53.6,Moderate,Medium-Term
63.2,Moderate,1276,Moderate,48.59,Moderate,Medium-Term
61.5,Moderate,4774,Moderate,58.12,Moderate,Medium-Term
66.8,High,654,Poor,61.96,High,Short-Term
78.6,Low,3298,Moderate,48.4,Moderate,Medium-Term
38.7,High,2177,Poor,49.76,Moderate,Medium-Term
78.9,High,2075,Poor,73.68,High,Short-Term
10.4,High,1192,Good,31.55,Low,Monitor
33.9,Moderate,3906,Poor,54.9,Moderate,Medium-Term
18.2,Moderate,616,Poor,41.0,Moderate,Medium-Term
45.8,High,1751,Good,53.19,Moderate,Medium-Term
88.6,High,2640,Poor,75.19,High,Short-Term
81.5,Very High,2175,Good,72.77,High,Short-Term
19.1,High,491,Poor,41.21,Moderate,Medium-Term
12.4,High,3679,Moderate,52.95,Moderate,Medium-Term
89.5,Very High,2877,Good,74.27,High,Short-Term
49.8,High,776,Poor,54.57,Moderate,Medium-Term
43.1,Moderate,4568,Moderate,53.0,Moderate,Medium-Term
8.0,High,2610,Moderate,44.88,Moderate,Medium-Term
42.6,Very High,2979,Moderate,55.51,Moderate,Medium-Term
87.0,High,3663,Moderate,77.33,High,Short-Term
79.1,Low,714,Poor,52.99,Moderate,Medium-Term
36.3,Moderate,355,Good,37.7,Low,Monitor
67.8,Very High,385,Good,49.85,Moderate,Medium-Term
77.9,High,3066,Moderate,76.72,High,Short-Term
3.2,Moderate,3785,Moderate,36.71,Low,Monitor
76.3,Moderate,4437,Moderate,65.32,High,Short-Term
65.0,Moderate,1029,Good,48.64,Moderate,Medium-Term
49.9,Very High,4701,Good,63.96,High,Short-Term
26.0,Very High,1857,Poor,54.35,Moderate,Medium-Term
91.6,Very High,1739,Good,64.69,High,Short-Term
7.4,Moderate,3746,Good,40.54,Moderate,Medium-Term
96.8,High,2946,Poor,73.95,High,Short-Term
54.2,High,1390,Poor,63.13,High,Short-Term
70.0,Moderate,3061,Poor,60.08,High,Short-Term
98.5,Moderate,2039,Moderate,57.55,Moderate,Medium-Term
55.4,High,3928,Poor,64.43,High,Short-Term
88.4,Low,2633,Moderate,64.46,High,Short-Term
71.9,Very High,3454,Poor,73.41,High,Short-Term
97.2,Low,3786,Moderate,67.04,High,Short-Term
34.5,Moderate,1157,Moderate,39.25,Low,Monitor
86.8,Low,4344,Good,55.13,Moderate,Medium-Term
16.2,Moderate,2934,Poor,51.48,Moderate,Medium-Term
84.6,High,1708,Poor,78.99,High,Short-Term
27.4,High,4470,Good,53.01,Moderate,Medium-Term
16.9,Moderate,1502,Poor,41.66,Moderate,Medium-Term
90.2,High,4717,Good,81.14,Critical,Immediate
2.8,Low,4824,Moderate,37.7,Low,Monitor
76.7,Very High,348,Moderate,70.46,High,Short-Term
54.6,High,4056,Good,65.71,High,Short-Term
68.5,High,3815,Good,67.75,High,Short-Term
15.8,Very High,4066,Moderate,53.05,Moderate,Medium-Term
60.7,High,2715,Poor,75.17,High,Short-Term
34.5,Very High,1171,Moderate,53.0,Moderate,Medium-Term
10.6,Moderate,3921,Good,33.67,Low,Monitor
24.8,Low,514,Moderate,32.87,Low,Monitor
86.4,Very High,2133,Good,75.29,High,Short-Term
93.4,High,1655,Good,64.78,High,Short-Term
51.5,Very High,2627,Moderate,56.9,Moderate,Medium-Term
94.5,Very High,2072,Good,74.19,High,Short-Term
4.9,High,4154,Poor,59.7,Moderate,Medium-Term
65.4,Very High,2440,Poor,66.03,High,Short-Term
10.7,Moderate,2266,Poor,38.41,Low,Monitor
40.3,Low,3381,Good,39.25,Low,Monitor
19.5,High,702,Moderate,39.7,Low,Monitor
76.4,High,1073,Good,64.13,High,Short-Term
39.4,High,4669,Moderate,66.55,High,Short-Term
19.9,Very High,4196,Good,47.97,Moderate,Medium-Term
13.7,High,3980,Poor,55.28,Moderate,Medium-Term
60.6,Moderate,2786,Poor,57.2,Moderate,Medium-Term
39.3,High,4963,Moderate,63.73,High,Short-Term
51.0,Very High,4711,Moderate,72.29,High,Short-Term
1.7,High,997,Moderate,35.92,Low,Monitor
79.7,Low,4989,Moderate,59.1,Moderate,Medium-Term
65.6,Moderate,520,Poor,52.48,Moderate,Medium-Term
52.4,Very High,1310,Poor,60.71,High,Short-Term
57.3,Low,1662,Good,36.26,Low,Monitor
41.9,Very High,1770,Moderate,57.77,Moderate,Medium-Term
61.1,Very High,610,Poor,59.28,Moderate,Medium-Term
20.7,High,4018,Poor,56.6,Moderate,Medium-Term
95.7,Very High,4467,Moderate,88.1,Critical,Immediate
67.6,High,4066,Good,72.74,High,Short-Term
27.9,High,1942,Moderate,51.87,Moderate,Medium-Term
70.5,Very High,2697,Moderate,69.04,High,Short-Term
93.4,High,2457,Good,69.2,High,Short-Term
54.3,Very High,2927,Good,58.86,Moderate,Medium-Term
28.8,Low,2937,Moderate,39.33,Low,Monitor
74.7,Moderate,1755,Poor,57.25,Moderate,Medium-Term
56.2,High,1224,Good,51.92,Moderate,Medium-Term
58.7,Moderate,515,Poor,56.84,Moderate,Medium-Term
22.6,Moderate,530,Good,26.64,Low,Monitor
71.7,Low,1226,Good,47.93,Moderate,Medium-Term
97.8,Moderate,3433,Poor,82.67,Critical,Immediate
87.8,Very High,1733,Moderate,70.8,High,Short-Term
64.6,Low,4803,Good,52.88,Moderate,Medium-Term
72.3,Low,1534,Moderate,52.56,Moderate,Medium-Term
17.6,Low,3352,Moderate,29.55,Low,Monitor
74.9,High,406,Good,50.11,Moderate,Medium-Term
60.3,High,2431,Moderate,68.66,High,Short-Term
54.3,Very High,1199,Poor,64.54,High,Short-Term
19.3,Low,2808,Good,32.19,Low,Monitor
64.8,Moderate,215,Poor,48.68,Moderate,Medium-Term
29.5,Moderate,1537,Poor,49.92,Moderate,Medium-Term
89.7,Very High,4321,Moderate,78.07,High,Short-Term
66.9,Moderate,1251,Moderate,48.1,Moderate,Medium-Term
24.8,High,3242,Good,46.3,Moderate,Medium-Term
26.7,High,2573,Poor,58.46,Moderate,Medium-Term
1.1,High,2035,Good,36.7,Low,Monitor
46.5,Moderate,3421,Poor,57.75,Moderate,Medium-Term
89.5,High,1061,Poor,77.48,High,Short-Term
29.5,Moderate,1895,Good,35.56,Low,Monitor
45.5,High,3506,Poor,65.99,High,Short-Term
47.1,Moderate,2127,Poor,56.82,Moderate,Medium-Term
87.3,Low,4404,Moderate,63.62,High,Short-Term
36.2,Low,605,Poor,41.79,Moderate,Medium-Term
20.2,Moderate,1447,Moderate,41.03,Moderate,Medium-Term
44.2,Moderate,4877,Moderate,50.94,Moderate,Medium-Term
51.0,Low,3814,Good,43.82,Moderate,Medium-Term
45.7,Low,4677,Moderate,52.46,Moderate,Medium-Term
30.8,Low,3343,Moderate,44.21,Moderate,Medium-Term
74.6,Low,471,Moderate,40.5,Moderate,Medium-Term
6.4,Low,665,Moderate,12.41,Low,Monitor
40.9,Moderate,3543,Moderate,58.88,Moderate,Medium-Term
38.2,Very High,3177,Good,60.5,High,Short-Term
66.2,Moderate,2948,Good,47.82,Moderate,Medium-Term
53.7,Moderate,1924,Good,48.59,Moderate,Medium-Term
97.8,Very High,4560,Moderate,88.98,Critical,Immediate
82.3,Moderate,3873,Moderate,61.28,High,Short-Term
18.8,Low,363,Poor,26.99,Low,Monitor
76.6,Low,2071,Good,38.67,Low,Monitor
59.4,Very High,4997,Poor,85.28,Critical,Immediate
4.9,Low,3395,Moderate,26.05,Low,Monitor
21.7,Low,1247,Poor,40.73,Moderate,Medium-Term
23.4,High,4830,Poor,67.12,High,Short-Term
81.8,Moderate,2572,Good,64.69,High,Short-Term
52.1,Very High,2561,Moderate,57.46,Moderate,Medium-Term
94.9,Moderate,3599,Poor,75.29,High,Short-Term
97.2,Very High,4396,Moderate,90.74,Critical,Immediate
40.8,High,3183,Good,56.58,Moderate,Medium-Term
47.4,Moderate,2563,Poor,48.9,Moderate,Medium-Term
46.3,Low,4707,Moderate,57.51,Moderate,Medium-Term
55.7,Moderate,3281,Good,46.7,Moderate,Medium-Term
33.0,Low,3784,Moderate,35.17,Low,Monitor
72.5,Moderate,522,Moderate,47.99,Moderate,Medium-Term
60.5,Low,696,Good,39.33,Low,Monitor
58.8,Moderate,4027,Good,60.6,High,Short-Term
33.3,Low,1835,Good,36.88,Low,Monitor
11.7,Very High,2087,Poor,55.36,Moderate,Medium-Term
20.5,Moderate,4622,Moderate,52.57,Moderate,Medium-Term
38.1,High,2626,Moderate,51.59,Moderate,Medium-Term
88.3,Very High,907,Poor,75.29,High,Short-Term
84.0,Moderate,3136,Moderate,63.06,High,Short-Term
56.3,Moderate,1295,Good,39.05,Low,Monitor
93.5,Very High,2518,Good,69.44,High,Short-Term
23.0,Moderate,4190,Poor,55.03,Moderate,Medium-Term
68.5,High,4102,Poor,77.9,High,Short-Term
49.1,Moderate,2985,Good,41.36,Moderate,Medium-Term
54.7,Moderate,4541,Poor,72.38,High,Short-Term
52.4,Low,497,Good,29.43,Low,Monitor
84.3,Moderate,656,Poor,54.3,Moderate,Medium-Term
21.9,Very High,3157,Good,53.68,Moderate,Medium-Term
66.7,Very High,4096,Good,63.34,High,Short-Term
55.2,Low,237,Poor,44.08,Moderate,Medium-Term
53.6,High,240,Poor,59.98,Moderate,Medium-Term
67.4,Moderate,976,Good,45.88,Moderate,Medium-Term
24.1,High,3003,Moderate,55.17,Moderate,Medium-Term
7.9,Very High,3860,Poor,55.34,Moderate,Medium-Term
69.7,High,760,Poor,70.55,High,Short-Term
65.0,Low,865,Moderate,39.28,Low,Monitor
55.3,Low,177,Poor,35.05,Low,Monitor
50.0,Very High,2813,Poor,77.64,High,Short-Term
97.4,Low,1982,Good,58.94,Moderate,Medium-Term
69.2,Very High,2320,Good,71.79,High,Short-Term
68.4,High,4548,Poor,79.91,High,Short-Term
17.9,High,228,Good,34.07,Low,Monitor
75.2,Very High,730,Moderate,59.84,Moderate,Medium-Term
24.0,Very High,4528,Moderate,60.65,High,Short-Term
74.0,Low,4202,Poor,70.55,High,Short-Term
5.4,Very High,2001,Good,38.84,Low,Monitor
76.9,Very High,2773,Good,71.66,High,Short-Term
78.4,Very High,4119,Good,73.11,High,Short-Term
94.1,Very High,1621,Poor,82.04,Critical,Immediate
38.0,High,2118,Poor,50.2,Moderate,Medium-Term
26.8,Very High,1363,Poor,54.31,Moderate,Medium-Term
36.1,Low,142,Moderate,27.32,Low,Monitor
76.1,Low,1185,Good,36.88,Low,Monitor
44.9,Very High,946,Good,44.43,Moderate,Medium-Term
55.4,High,3255,Good,54.58,Moderate,Medium-Term
38.8,Low,4683,Good,43.96,Moderate,Medium-Term
17.0,Very High,1488,Good,39.7,Low,Monitor
